extension\10_em_81	H I \Delta
KAIST\TrainData2_14_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_14_sub_17	+ - 1 2 x y z
KAIST\TrainData2_14_sub_20	+ a b c d e
KAIST\TrainData2_14_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_14_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_14_sub_39	( ) - \sin x y
KAIST\TrainData2_14_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_14_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_14_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_14_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_14_sub_6	+ - 1 2 i x
KAIST\TrainData2_14_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_14_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_14_sub_71	+ - B C \cos \sin
KAIST\TrainData2_14_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_14_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_14_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_14_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_14_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_15_sub_1	+ 1 2 3 = x
KAIST\TrainData2_15_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_15_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_15_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_15_sub_17	+ - 1 2 x y z
KAIST\TrainData2_15_sub_20	+ a b c d e
KAIST\TrainData2_15_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_15_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_15_sub_39	( ) - \sin x y
KAIST\TrainData2_15_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_15_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_15_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_15_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_15_sub_6	+ - 1 2 i x
KAIST\TrainData2_15_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_15_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_15_sub_71	+ - B C \cos \sin
KAIST\TrainData2_15_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_15_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_15_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_15_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_15_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_16_sub_1	+ 1 2 3 = x
KAIST\TrainData2_16_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_16_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_16_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_16_sub_17	+ - 1 2 x y z
KAIST\TrainData2_16_sub_20	+ a b c d e
KAIST\TrainData2_16_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_16_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_16_sub_39	( ) - \sin x y
KAIST\TrainData2_16_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_16_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_16_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_16_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_16_sub_6	+ - 1 2 i x
KAIST\TrainData2_16_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_16_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_16_sub_71	+ - B C \cos \sin
KAIST\TrainData2_16_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_16_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_16_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_16_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_16_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_17_sub_1	+ 1 2 3 = x
KAIST\TrainData2_17_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_17_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_17_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_17_sub_17	+ - 1 2 x y z
KAIST\TrainData2_17_sub_20	+ a b c d e
KAIST\TrainData2_17_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_17_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_17_sub_39	( ) - \sin x y
KAIST\TrainData2_17_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_17_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_17_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_17_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_17_sub_6	+ - 1 2 i x
KAIST\TrainData2_17_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_17_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_17_sub_71	+ - B C \cos \sin
KAIST\TrainData2_17_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_17_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_17_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_17_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_17_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_18_sub_1	+ 1 2 3 = x
KAIST\TrainData2_18_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_18_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_18_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_18_sub_17	+ - 1 2 x y z
KAIST\TrainData2_18_sub_20	+ a b c d e
KAIST\TrainData2_18_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_18_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_18_sub_39	( ) - \sin x y
KAIST\TrainData2_18_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_18_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_18_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_18_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_18_sub_6	+ - 1 2 i x
KAIST\TrainData2_18_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_18_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_18_sub_71	+ - B C \cos \sin
KAIST\TrainData2_18_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_18_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_18_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_18_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_18_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_19_sub_1	+ 1 2 3 = x
KAIST\TrainData2_19_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_19_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_19_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_19_sub_17	+ - 1 2 x y z
KAIST\TrainData2_19_sub_20	+ a b c d e
KAIST\TrainData2_19_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_19_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_19_sub_39	( ) - \sin x y
KAIST\TrainData2_19_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_19_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_19_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_19_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_19_sub_6	+ - 1 2 i x
KAIST\TrainData2_19_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_19_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_19_sub_71	+ - B C \cos \sin
KAIST\TrainData2_19_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_19_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_19_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_19_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_19_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_1_sub_1	+ 1 2 3 = x
KAIST\TrainData2_1_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_1_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_1_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_1_sub_17	+ - 1 2 x y z
KAIST\TrainData2_1_sub_20	+ a b c d e
KAIST\TrainData2_1_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_1_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_1_sub_39	( ) - \sin x y
KAIST\TrainData2_1_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_1_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_1_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_1_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_1_sub_6	+ - 1 2 i x
KAIST\TrainData2_1_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_1_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_1_sub_71	+ - B C \cos \sin
KAIST\TrainData2_1_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_1_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_1_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_1_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_1_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_20_sub_1	+ 1 2 3 = x
KAIST\TrainData2_20_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_20_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_20_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_20_sub_17	+ - 1 2 x y z
KAIST\TrainData2_20_sub_20	+ a b c d e
KAIST\TrainData2_20_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_20_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_20_sub_39	( ) - \sin x y
KAIST\TrainData2_20_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_20_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_20_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_20_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_20_sub_6	+ - 1 2 i x
KAIST\TrainData2_20_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_20_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_20_sub_71	+ - B C \cos \sin
KAIST\TrainData2_20_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_20_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_20_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_20_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_20_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_21_sub_1	+ 1 2 3 = x
KAIST\TrainData2_21_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_21_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_21_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_21_sub_17	+ - 1 2 x y z
KAIST\TrainData2_21_sub_20	+ a b c d e
KAIST\TrainData2_21_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_21_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_21_sub_39	( ) - \sin x y
KAIST\TrainData2_21_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_21_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_21_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_21_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_21_sub_6	+ - 1 2 i x
KAIST\TrainData2_21_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_21_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_21_sub_71	+ - B C \cos \sin
KAIST\TrainData2_21_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_21_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_21_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_21_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_21_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_22_sub_1	+ 1 2 3 = x
KAIST\TrainData2_22_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_22_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_22_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_22_sub_17	+ - 1 2 x y z
KAIST\TrainData2_22_sub_20	+ a b c d e
KAIST\TrainData2_22_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_22_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_22_sub_39	( ) - \sin x y
KAIST\TrainData2_22_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_22_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_22_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_22_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_22_sub_6	+ - 1 2 i x
KAIST\TrainData2_22_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_22_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_22_sub_71	+ - B C \cos \sin
KAIST\TrainData2_22_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_22_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_22_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_22_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_22_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_23_sub_1	+ 1 2 3 = x
KAIST\TrainData2_23_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_23_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_23_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_23_sub_17	+ - 1 2 x y z
KAIST\TrainData2_23_sub_20	+ a b c d e
KAIST\TrainData2_23_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_23_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_23_sub_39	( ) - \sin x y
KAIST\TrainData2_23_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_23_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_23_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_23_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_23_sub_6	+ - 1 2 i x
KAIST\TrainData2_23_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_23_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_23_sub_71	+ - B C \cos \sin
KAIST\TrainData2_23_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_23_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_23_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_23_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_23_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_24_sub_1	+ 1 2 3 = x
KAIST\TrainData2_24_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_24_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_24_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_24_sub_17	+ - 1 2 x y z
KAIST\TrainData2_24_sub_20	+ a b c d e
KAIST\TrainData2_24_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_24_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_24_sub_39	( ) - \sin x y
KAIST\TrainData2_24_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_24_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_24_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_24_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_24_sub_6	+ - 1 2 i x
KAIST\TrainData2_24_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_24_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_24_sub_71	+ - B C \cos \sin
KAIST\TrainData2_24_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_24_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_24_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_24_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_24_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_25_sub_1	+ 1 2 3 = x
KAIST\TrainData2_25_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_25_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_25_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_25_sub_17	+ - 1 2 x y z
KAIST\TrainData2_25_sub_20	+ a b c d e
KAIST\TrainData2_25_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_25_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_25_sub_39	( ) - \sin x y
KAIST\TrainData2_25_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_25_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_25_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_25_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_25_sub_6	+ - 1 2 i x
KAIST\TrainData2_25_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_25_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_25_sub_71	+ - B C \cos \sin
KAIST\TrainData2_25_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_25_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_25_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_25_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_25_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_26_sub_1	+ 1 2 3 = x
KAIST\TrainData2_26_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_26_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_26_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_26_sub_17	+ - 1 2 x y z
KAIST\TrainData2_26_sub_20	+ a b c d e
KAIST\TrainData2_26_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_26_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_26_sub_39	( ) - \sin x y
KAIST\TrainData2_26_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_26_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_26_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_26_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_26_sub_6	+ - 1 2 i x
KAIST\TrainData2_26_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_26_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_26_sub_71	+ - B C \cos \sin
KAIST\TrainData2_26_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_26_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_26_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_26_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_26_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_2_sub_1	+ 1 2 3 = x
KAIST\TrainData2_2_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_2_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_2_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_2_sub_17	+ - 1 2 x y z
KAIST\TrainData2_2_sub_20	+ a b c d e
KAIST\TrainData2_2_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_2_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_2_sub_39	( ) - \sin x y
KAIST\TrainData2_2_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_2_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_2_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_2_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_2_sub_6	+ - 1 2 i x
KAIST\TrainData2_2_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_2_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_2_sub_71	+ - B C \cos \sin
KAIST\TrainData2_2_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_2_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_2_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_2_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_2_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_3_sub_1	+ 1 2 3 = x
KAIST\TrainData2_3_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_3_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_3_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_3_sub_17	+ - 1 2 x y z
KAIST\TrainData2_3_sub_20	+ a b c d e
KAIST\TrainData2_3_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_3_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_3_sub_39	( ) - \sin x y
KAIST\TrainData2_3_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_3_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_3_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_3_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_3_sub_6	+ - 1 2 i x
KAIST\TrainData2_3_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_3_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_3_sub_71	+ - B C \cos \sin
KAIST\TrainData2_3_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_3_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_3_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_3_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_3_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_4_sub_1	+ 1 2 3 = x
KAIST\TrainData2_4_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_4_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_4_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_4_sub_17	+ - 1 2 x y z
KAIST\TrainData2_4_sub_20	+ a b c d e
KAIST\TrainData2_4_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_4_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_4_sub_39	( ) - \sin x y
KAIST\TrainData2_4_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_4_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_4_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_4_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_4_sub_6	+ - 1 2 i x
KAIST\TrainData2_4_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_4_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_4_sub_71	+ - B C \cos \sin
KAIST\TrainData2_4_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_4_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_4_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_4_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_4_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_5_sub_1	+ 1 2 3 = x
KAIST\TrainData2_5_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_5_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_5_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_5_sub_17	+ - 1 2 x y z
KAIST\TrainData2_5_sub_20	+ a b c d e
KAIST\TrainData2_5_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_5_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_5_sub_39	( ) - \sin x y
KAIST\TrainData2_5_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_5_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_5_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_5_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_5_sub_6	+ - 1 2 i x
KAIST\TrainData2_5_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_5_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_5_sub_71	+ - B C \cos \sin
KAIST\TrainData2_5_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_5_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_5_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_5_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_5_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_6_sub_1	+ 1 2 3 = x
KAIST\TrainData2_6_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_6_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_6_sub_15	( ) - 2 3 7 x
KAIST\TrainData2_6_sub_17	+ - 1 2 x y z
KAIST\TrainData2_6_sub_20	+ a b c d e
KAIST\TrainData2_6_sub_29	+ - 2 3 \times i j k x
KAIST\TrainData2_6_sub_33	+ 1 2 3 4 6 8 9 \log
KAIST\TrainData2_6_sub_39	( ) - \sin x y
KAIST\TrainData2_6_sub_41	+ - 1 \alpha \beta \tan
KAIST\TrainData2_6_sub_43	- 1 2 \alpha \tan
KAIST\TrainData2_6_sub_46	+ - 1 3 \lim \rightarrow x
KAIST\TrainData2_6_sub_51	+ - 0 2 = \infty \lim \pi \rightarrow \tan x
KAIST\TrainData2_6_sub_6	+ - 1 2 i x
KAIST\TrainData2_6_sub_61	( ) - 2 3 \int d e x
KAIST\TrainData2_6_sub_63	( ) + - 1 C F a b x
KAIST\TrainData2_6_sub_71	+ - B C \cos \sin
KAIST\TrainData2_6_sub_73	+ - 1 2 3 = \alpha \beta n
KAIST\TrainData2_6_sub_88	0 2 3 8 9 \times x
KAIST\TrainData2_6_sub_9	- 2 4 \sqrt a b c
KAIST\TrainData2_6_sub_95	+ 1 2 3 4 \sqrt
KAIST\TrainData2_6_sub_98	- 1 4 \lim \rightarrow x
KAIST\TrainData2_7_sub_1	+ 1 2 3 = x
KAIST\TrainData2_7_sub_11	+ - 2 \sqrt x y z
KAIST\TrainData2_7_sub_13	+ - \cos \sin \tan \theta x y z
KAIST\TrainData2_7_sub_15	( ) - 2 3 7 x
